Artist,Song,Album,Release Date
Billy Joel,You May Be Right,Greatest Hits Volume I & Volume II,1985
Billy Joel,It's Still Rock and Roll to Me,Greatest Hits Volume I & Volume II,1985
Billy Joel,Don't Ask Me Why,Greatest Hits Volume I & Volume II,1985
Billy Joel,She's Got a Way - Live,Greatest Hits Volume I & Volume II,1985
Billy Joel,Pressure,Greatest Hits Volume I & Volume II,1985
Billy Joel,Allentown,Greatest Hits Volume I & Volume II,1985
Billy Joel,Goodnight Saigon,Greatest Hits Volume I & Volume II,1985
Billy Joel,Tell Her About It,Greatest Hits Volume I & Volume II,1985
Billy Joel,Uptown Girl,Greatest Hits Volume I & Volume II,1985
Billy Joel,The Longest Time,Greatest Hits Volume I & Volume II,1985
Billy Joel,You're Only Human (Second Wind),Greatest Hits Volume I & Volume II,1985
Billy Joel,The Night Is Still Young,Greatest Hits Volume I & Volume II,1985
Jason Derulo,Whatcha Say,Jason Derulo (Deluxe Audio),2010-03-01
Imogen Heap,Hide and Seek,Speak for Yourself (Deluxe Version),2015-07-17
Guns N' Roses,Welcome To The Jungle,Appetite For Destruction,1987-07-21
Guns N' Roses,It's So Easy,Appetite For Destruction,1987-07-21
Guns N' Roses,Nightrain,Appetite For Destruction,1987-07-21
Guns N' Roses,Out Ta Get Me,Appetite For Destruction,1987-07-21
Guns N' Roses,Mr. Brownstone,Appetite For Destruction,1987-07-21
Guns N' Roses,My Michelle,Appetite For Destruction,1987-07-21
Guns N' Roses,Think About You,Appetite For Destruction,1987-07-21
Guns N' Roses,Sweet Child O' Mine,Appetite For Destruction,1987-07-21
Guns N' Roses,You're Crazy,Appetite For Destruction,1987-07-21
Guns N' Roses,Anything Goes,Appetite For Destruction,1987-07-21
Guns N' Roses,Rocket Queen,Appetite For Destruction,1987-07-21
One Direction,Best Song Ever,Midnight Memories (Deluxe),2013-11-25
One Direction,Story of My Life,Midnight Memories (Deluxe),2013-11-25
One Direction,Diana,Midnight Memories (Deluxe),2013-11-25
One Direction,Midnight Memories,Midnight Memories (Deluxe),2013-11-25
One Direction,You & I,Midnight Memories (Deluxe),2013-11-25
One Direction,Strong,Midnight Memories (Deluxe),2013-11-25
One Direction,Happily,Midnight Memories (Deluxe),2013-11-25
One Direction,Right Now,Midnight Memories (Deluxe),2013-11-25
One Direction,Little Black Dress,Midnight Memories (Deluxe),2013-11-25
One Direction,Through the Dark,Midnight Memories (Deluxe),2013-11-25
One Direction,Something Great,Midnight Memories (Deluxe),2013-11-25
One Direction,Little White Lies,Midnight Memories (Deluxe),2013-11-25
One Direction,Better Than Words,Midnight Memories (Deluxe),2013-11-25
One Direction,Why Don't We Go There,Midnight Memories (Deluxe),2013-11-25
One Direction,Does He Know?,Midnight Memories (Deluxe),2013-11-25
One Direction,Alive,Midnight Memories (Deluxe),2013-11-25
One Direction,Half a Heart,Midnight Memories (Deluxe),2013-11-25
Aerosmith,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",I Don't Want To Miss A Thing,1998-08-18
Journey,Don't Stop Believin',The Essential Journey,2001-10-16
Maroon 5,Maps,V (Deluxe),2014-09-02
Maroon 5,Animals,V (Deluxe),2014-09-02
Maroon 5,It Was Always You,V (Deluxe),2014-09-02
Maroon 5,Unkiss Me,V (Deluxe),2014-09-02
Maroon 5,Sugar,V (Deluxe),2014-09-02
Maroon 5,Leaving California,V (Deluxe),2014-09-02
Maroon 5,In Your Pocket,V (Deluxe),2014-09-02
Maroon 5,New Love,V (Deluxe),2014-09-02
Maroon 5,Coming Back For You,V (Deluxe),2014-09-02
Maroon 5,Feelings,V (Deluxe),2014-09-02
Maroon 5,My Heart Is Open,V (Deluxe),2014-09-02
Maroon 5,This Summer,V (Deluxe),2014-09-02
Maroon 5,Shoot Love,V (Deluxe),2014-09-02
Maroon 5,Sex And Candy,V (Deluxe),2014-09-02
Adam Levine,Lost Stars,V (Deluxe),2014-09-02
Eric Hutchinson,Talk Is Cheap,Moving Up Living Down,2012-04-13
Eric Hutchinson,Best Days,Moving Up Living Down,2012-04-13
Eric Hutchinson,The Basement,Moving Up Living Down,2012-04-13
Eric Hutchinson,Watching You Watch Him,Moving Up Living Down,2012-04-13
Eric Hutchinson,Breakdown More,Moving Up Living Down,2012-04-13
Eric Hutchinson,The People I Know,Moving Up Living Down,2012-04-13
Eric Hutchinson,Living in the Afterlife,Moving Up Living Down,2012-04-13
Eric Hutchinson,In the First Place,Moving Up Living Down,2012-04-13
Eric Hutchinson,I'm Not Cool,Moving Up Living Down,2012-04-13
Eric Hutchinson,Not There Yet,Moving Up Living Down,2012-04-13
Eric Hutchinson,Lisa,Moving Up Living Down,2012-04-13
U2,With Or Without You - Remastered 2007,The Joshua Tree,1987-03-10
U2,I Still Haven't Found What I'm Looking For - Remastered 2007,The Joshua Tree,1987-03-10
U2,Where The Streets Have No Name - Remastered,The Joshua Tree,1987-03-10
Coldplay,Square One,X&Y,2005-06-07
Coldplay,What If,X&Y,2005-06-07
Coldplay,White Shadows,X&Y,2005-06-07
Coldplay,Fix You,X&Y,2005-06-07
Coldplay,Talk,X&Y,2005-06-07
Coldplay,X&Y,X&Y,2005-06-07
Coldplay,Speed of Sound,X&Y,2005-06-07
Coldplay,A Message,X&Y,2005-06-07
Coldplay,Low,X&Y,2005-06-07
Coldplay,The Hardest Part,X&Y,2005-06-07
Coldplay,Swallowed in the Sea,X&Y,2005-06-07
Coldplay,Twisted Logic,X&Y,2005-06-07
Coldplay,Til Kingdom Come,X&Y,2005-06-07
Eric Hutchinson,OK It's Alright With Me - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,I'm a Foot Stomper - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,Watching You Watch Him - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,Watching You Eat Shrimp - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,Every Little Thing She Does Is Magic - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,Emo in College - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,Breakdown More - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,Outside Villanova - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,Amsterdam - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,Shine on Me - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,Rock & Roll - Live,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,Love Like You - Live at Pandora,Almost Solo in NYC (Live),2014-10-07
Eric Hutchinson,A Little More - Live at Pandora,Almost Solo in NYC (Live),2014-10-07
Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),2015-01-09
Demi Lovato,"Brand New Day - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
"Matthew ""Mdot"" Finley","Fire - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Demi Lovato,"Can't Back Down - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Demi Lovato,"It's On - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Demi Lovato,"Wouldn't Change a Thing - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Kevin Jonas,"Heart and Soul - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Demi Lovato,"You're My Favorite Song - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Meaghan Martin,"Tear it Down - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Demi Lovato,"What We Came Here For - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Demi Lovato,"This is Our Song - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Demi Lovato,"Different Summers - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Meaghan Martin,"Walkin' in My Shoes - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Demi Lovato,"It's Not Too Late - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Iron Weasel,"Rock Hard or Go Home - From ""Camp Rock 2: The Final Jam""",Camp Rock 2: The Final Jam,2010-01-01
Panic! At The Disco,Miss Jackson (feat. LOLO),"Too Weird to Live, Too Rare to Die!",2013-10-04
Panic! At The Disco,This Is Gospel,"Too Weird to Live, Too Rare to Die!",2013-10-04
Foreigner,Dirty White Boy,Head Games,1979-09-10
Foreigner,Head Games,Head Games,1979-09-10
Foreigner,"Blue Morning, Blue Day",Double Vision (Expanded),1978
Foreigner,Double Vision,Double Vision (Expanded),1978
Foreigner,Urgent,4 (Expanded),1981
Foreigner,Feels like the First Time,Foreigner (Expanded),1977-03-08
Foreigner,Starrider,Foreigner (Expanded),1977-03-08
Foreigner,"Long, Long Way from Home",Foreigner (Expanded),1977-03-08
Ariana Grande,Dangerous Woman,Dangerous Woman,2016-03-11
Nico & Vinz,That's How You Know (feat. Kid Ink & Bebe Rexha),That's How You Know (feat. Kid Ink & Bebe Rexha),2015-07-17
Queen,Bohemian Rhapsody - Remastered 2011,The Platinum Collection (2011 Remaster),2011-01-01
Aerosmith,Angel,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Amazing - Orchestral Edit,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Love In An Elevator - Single Version,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Cryin',Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,What It Takes,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Rag Doll,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Crazy,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Deuces Are Wild,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Livin' On The Edge,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Blind Man,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Janie's Got A Gun - Single Version,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Dream On,Tough Love: Best Of The Ballads,2011-01-01
Aerosmith,Dude (Looks Like A Lady),20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,Angel,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,Rag Doll,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,Love In An Elevator,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,Janie's Got A Gun,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,What It Takes,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,The Other Side,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,Livin' On The Edge,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,Cryin',20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,Crazy,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,Deuces Are Wild,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Aerosmith,Amazing,20th Century Masters: The Millennium Collection: The Best Of Aerosmith,2007-01-01
Dominik Hauser,SPIDER MAN (1967): Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,SPIDER-MAN AND HIS AMAZING FRIENDS: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,BATMAN - THE BRAVE AND THE BOLD: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,THE NEW BATMAN/SUPERMAN ADVENTURES: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,SUPERMAN THE ANIMATED SERIES: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,JUSTICE LEAGUE: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,JUSTICE LEAGUE UNLIMITED: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,G.I. JOE - A REAL AMERICAN HERO: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,MARVEL SUPER HEROES (1966): Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,CAPTAIN AMERICA (1966): Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,IRON MAN (1966): Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,THE INCREDIBLE HULK (1966): Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,THE MIGHTY THOR (1966): Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,THE SUBMARINER (1966): Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,THE FANTASTIC FOUR (1967): Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,THE INCREDIBLE HULK (1981): Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,JONNY QUEST: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,STAR TREK: THE ANIMATED SERIES: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,ROBOTECH: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,THE BUGS BUNNY SHOW: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,THE ROAD RUNNER SHOW: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,YOGI BEAR: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,THE FLINTSTONES: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,SCOOBY DOO - WHERE ARE YOU': Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,BEETLEJUICE - THE ANIMATED SERIES: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,SOUTH PARK: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dominik Hauser,THE SIMPSONS: Main Title,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Dennis McCarthy,PEANUTS: Linus and Lucy,Spider-man: Animation's Finest - Music From Classic Animated Television Series,2015-06-09
Aerosmith,Heart's Done Time,Permanent Vacation,1987-01-01
Aerosmith,Magic Touch,Permanent Vacation,1987-01-01
Aerosmith,Rag Doll,Permanent Vacation,1987-01-01
Aerosmith,Simoriah,Permanent Vacation,1987-01-01
Aerosmith,Dude (Looks Like A Lady),Permanent Vacation,1987-01-01
Aerosmith,St. John,Permanent Vacation,1987-01-01
Aerosmith,Hangman Jury,Permanent Vacation,1987-01-01
Aerosmith,Girl Keeps Coming Apart,Permanent Vacation,1987-01-01
Aerosmith,Angel,Permanent Vacation,1987-01-01
Aerosmith,Permanent Vacation,Permanent Vacation,1987-01-01
Aerosmith,I'm Down,Permanent Vacation,1987-01-01
Aerosmith,The Movie,Permanent Vacation,1987-01-01
Rachel Platten,Fight Song,Wildfire,2016-01-01
James Bay,Craving,Chaos And The Calm,2014-12-15
James Bay,Hold Back The River,Chaos And The Calm,2014-12-15
James Bay,If You Ever Want To Be In Love,Chaos And The Calm,2014-12-15
James Bay,Best Fake Smile,Chaos And The Calm,2014-12-15
James Bay,When We Were On Fire,Chaos And The Calm,2014-12-15
James Bay,Move Together,Chaos And The Calm,2014-12-15
James Bay,Scars,Chaos And The Calm,2014-12-15
James Bay,Collide,Chaos And The Calm,2014-12-15
James Bay,Get Out While You Can,Chaos And The Calm,2014-12-15
James Bay,Need The Sun To Break,Chaos And The Calm,2014-12-15
James Bay,Incomplete,Chaos And The Calm,2014-12-15
Of Monsters and Men,Little Talks,My Head Is An Animal,2012-01-01
Zella Day,Jerome,Kicker,2015-01-01
Zella Day,High,Kicker,2015-01-01
Zella Day,Ace of Hearts,Kicker,2015-01-01
Zella Day,Mustang Kids,Kicker,2015-01-01
Zella Day,The Outlaw Josey Wales,Kicker,2015-01-01
Zella Day,Jameson,Kicker,2015-01-01
Zella Day,Shadow Preachers,Kicker,2015-01-01
Zella Day,Sweet Ophelia,Kicker,2015-01-01
Zella Day,Hypnotic,Kicker,2015-01-01
Zella Day,East of Eden,Kicker,2015-01-01
Zella Day,1965,Kicker,2015-01-01
Zella Day,Compass,Kicker,2015-01-01
Darius Rucker,Wagon Wheel,True Believers,2013-01-01
Of Monsters and Men,Love Love Love,My Head Is An Animal,2012-01-01
James Bay,Let It Go,Chaos And The Calm,2014-12-15
Sia,Cheap Thrills,This Is Acting,2016-01-29
Meghan Trainor,NO,NO,2016-03-04
Justin Bieber,Love Yourself,Purpose (Deluxe),2015-11-13
ZAYN,PILLOWTALK,PILLOWTALK,2016-01-29
Bear's Den,Agape,Islands (Deluxe),2015-10-09
Bear's Den,The Love We Stole,Islands (Deluxe),2015-10-09
Bear's Den,Above The Clouds Of Pompeii,Islands (Deluxe),2015-10-09
Bear's Den,Isaac,Islands (Deluxe),2015-10-09
Bear's Den,Think Of England,Islands (Deluxe),2015-10-09
Bear's Den,Magdalene,Islands (Deluxe),2015-10-09
Bear's Den,When You Break,Islands (Deluxe),2015-10-09
Bear's Den,Stubborn Beast,Islands (Deluxe),2015-10-09
Bear's Den,Elysium,Islands (Deluxe),2015-10-09
Bear's Den,Bad Blood,Islands (Deluxe),2015-10-09
Bear's Den,Above The Clouds Of Pompeii - Live At Melkweg,Islands (Deluxe),2015-10-09
Bear's Den,Think Of England - Live At Melkweg,Islands (Deluxe),2015-10-09
Bear's Den,Agape - Live At Melkweg,Islands (Deluxe),2015-10-09
Bear's Den,Isaac - Live At Melkweg,Islands (Deluxe),2015-10-09
Bear's Den,Writing On The Wall - Live At Melkweg,Islands (Deluxe),2015-10-09
Bear's Den,A Year Ago Today - Live At Vondelkerk,Islands (Deluxe),2015-10-09
Bear's Den,Her Tears - Live At Vondelkerk,Islands (Deluxe),2015-10-09
Bear's Den,Sophie - Live At Vondelkerk,Islands (Deluxe),2015-10-09
Bear's Den,Bad Blood - Live At Vondelkerk,Islands (Deluxe),2015-10-09
Bear's Den,Elysium - Live At Vondelkerk,Islands (Deluxe),2015-10-09
Kevin Garrett,Refuse,Refuse,2015-10-23
Gavin James,For You,Bitter Pill,2016-03-11
Gavin James,Nervous,Bitter Pill,2016-03-11
Gavin James,Remember Me,Bitter Pill,2016-03-11
Gavin James,Bitter Pill,Bitter Pill,2016-03-11
Gavin James,Coming Home,Bitter Pill,2016-03-11
Gavin James,I Don't Know Why,Bitter Pill,2016-03-11
Gavin James,22,Bitter Pill,2016-03-11
Gavin James,Ghost,Bitter Pill,2016-03-11
Gavin James,Hole In My Heart,Bitter Pill,2016-03-11
Gavin James,Say Hello,Bitter Pill,2016-03-11
Gavin James,Two Hearts,Bitter Pill,2016-03-11
Gavin James,Till The Sun Comes Up,Bitter Pill,2016-03-11
Gavin James,The Book Of Love,Bitter Pill,2016-03-11
Eric Hutchinson,Love Like You,Pure Fiction,2014-04-08
Eric Hutchinson,You Don't Have to Believe Me,Sounds Like This,2008
Eric Hutchinson,Outside Villanova,Sounds Like This,2008
Eric Hutchinson,Food Chain,Sounds Like This,2008
Eric Hutchinson,Rock & Roll,Sounds Like This,2008
Eric Hutchinson,Oh!,Sounds Like This,2008
Eric Hutchinson,All over Now,Sounds Like This,2008
Eric Hutchinson,It Hasn't Been Long Enough,Sounds Like This,2008
Eric Hutchinson,Back to Where I Was,Sounds Like This,2008
Eric Hutchinson,You've Got You,Sounds Like This,2008
Eric Hutchinson,"OK, It's Alright with Me",Sounds Like This,2008
Buckcherry,Sorry,15,2006-04-11
Buckcherry,Crazy B*tch,15,2006-04-11
Daryl Hall & John Oates,Maneater,H2O,1982
Daryl Hall & John Oates,Rich Girl,Bigger Than Both Of Us,1976-08-01
Daryl Hall & John Oates,You Make My Dreams (Come True),Voices,1980
Chrisette Michele,Epiphany (I'm Leaving),Epiphany,2009-01-01
Chrisette Michele,Notebook,Epiphany,2009-01-01
Chrisette Michele,What You Do,Epiphany,2009-01-01
Chrisette Michele,Blame It On Me,Epiphany,2009-01-01
Chrisette Michele,Playin' Our Song,Epiphany,2009-01-01
Chrisette Michele,Another One,Epiphany,2009-01-01
Chrisette Michele,On My Own,Epiphany,2009-01-01
Chrisette Michele,Fragile,Epiphany,2009-01-01
Chrisette Michele,Mr. Right,Epiphany,2009-01-01
Chrisette Michele,Porcelain Doll,Epiphany,2009-01-01
Chrisette Michele,I'm Okay,Epiphany,2009-01-01
Chrisette Michele,All I Ever Think About,Epiphany,2009-01-01
Train,Drops of Jupiter (Tell Me),Drops Of Jupiter,2001-03-27
Train,"Hey, Soul Sister","Save Me, San Francisco",2009-10-27
Twisted Sister,We're Not Gonna Take It (Remastered Album Version),Stay Hungry [Deluxe 25th Anniversary Edition],2009-06-29
Imagine Dragons,Radioactive,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Tiptoe,Night Visions (Deluxe),2012-09-04
Imagine Dragons,It's Time,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Demons,Night Visions (Deluxe),2012-09-04
Imagine Dragons,On Top Of The World,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Amsterdam,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Hear Me,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Every Night,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Bleeding Out,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Underdog,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Nothing Left To Say / Rocks,Night Visions (Deluxe),2012-09-04
Imagine Dragons,My Fault,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Round And Round,Night Visions (Deluxe),2012-09-04
Imagine Dragons,The River,Night Visions (Deluxe),2012-09-04
Imagine Dragons,America,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Selene,Night Visions (Deluxe),2012-09-04
Imagine Dragons,Shots,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Gold,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Smoke And Mirrors,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,I’m So Sorry,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,I Bet My Life,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Polaroid,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,It Comes Back To You,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Dream,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Trouble,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Summer,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Hopeless Opus,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,The Fall,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Thief,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,The Unknown,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Second Chances,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Release,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Warriors,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Battle Cry,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Monster,Smoke + Mirrors (Deluxe),2015-10-30
Imagine Dragons,Who We Are,Smoke + Mirrors (Deluxe),2015-10-30
Fort Atlantic,Let Your Heart Hold Fast,Fort Atlantic,2012-05-29
Coldplay,A Head Full of Dreams,A Head Full of Dreams,2015-12-04
Coldplay,Birds,A Head Full of Dreams,2015-12-04
Coldplay,Hymn for the Weekend,A Head Full of Dreams,2015-12-04
Coldplay,Everglow,A Head Full of Dreams,2015-12-04
Coldplay,Adventure of a Lifetime,A Head Full of Dreams,2015-12-04
Coldplay,Fun (feat. Tove Lo),A Head Full of Dreams,2015-12-04
Coldplay,Kaleidoscope,A Head Full of Dreams,2015-12-04
Coldplay,Army of One,A Head Full of Dreams,2015-12-04
Coldplay,Amazing Day,A Head Full of Dreams,2015-12-04
Coldplay,Colour Spectrum,A Head Full of Dreams,2015-12-04
Coldplay,Up&Up,A Head Full of Dreams,2015-12-04
Bruno Mars,Grenade,Doo-Wops & Hooligans,2010-10-05
Bruno Mars,Just the Way You Are,Doo-Wops & Hooligans,2010-10-05
Bruno Mars,Our First Time,Doo-Wops & Hooligans,2010-10-05
Bruno Mars,Runaway Baby,Doo-Wops & Hooligans,2010-10-05
Bruno Mars,The Lazy Song,Doo-Wops & Hooligans,2010-10-05
Bruno Mars,Marry You,Doo-Wops & Hooligans,2010-10-05
Bruno Mars,Talking to the Moon,Doo-Wops & Hooligans,2010-10-05
Bruno Mars,Liquor Store Blues (feat. Damian Marley),Doo-Wops & Hooligans,2010-10-05
Bruno Mars,Count on Me,Doo-Wops & Hooligans,2010-10-05
Bruno Mars,The Other Side (feat. CeeLo Green and B.o.B),Doo-Wops & Hooligans,2010-10-05
Ariana Grande,One Last Time,My Everything (Deluxe),2014-08-25
Ariana Grande,Almost Is Never Enough,Yours Truly,2013-01-01
Muse,Uprising,The Resistance,2009-09-10
Muse,Supremacy,The 2nd Law,2012-09-24
Muse,Panic Station,The 2nd Law,2012-09-24
Muse,Prelude,The 2nd Law,2012-09-24
Muse,Survival,The 2nd Law,2012-09-24
Muse,Follow Me,The 2nd Law,2012-09-24
Muse,Animals,The 2nd Law,2012-09-24
Muse,Explorers,The 2nd Law,2012-09-24
Muse,Big Freeze,The 2nd Law,2012-09-24
Muse,Save Me,The 2nd Law,2012-09-24
Muse,Liquid State,The 2nd Law,2012-09-24
Muse,The 2nd Law: Unsustainable,The 2nd Law,2012-09-24
Muse,The 2nd Law: Isolated System,The 2nd Law,2012-09-24
Muse,Madness,The 2nd Law,2012-09-24
Bruno Mars,Young Girls,Unorthodox Jukebox,2012-12-07
Bruno Mars,Locked out of Heaven,Unorthodox Jukebox,2012-12-07
Bruno Mars,Gorilla,Unorthodox Jukebox,2012-12-07
Bruno Mars,Treasure,Unorthodox Jukebox,2012-12-07
Bruno Mars,Moonshine,Unorthodox Jukebox,2012-12-07
Bruno Mars,When I Was Your Man,Unorthodox Jukebox,2012-12-07
Bruno Mars,Natalie,Unorthodox Jukebox,2012-12-07
Bruno Mars,Show Me,Unorthodox Jukebox,2012-12-07
Bruno Mars,Money Make Her Smile,Unorthodox Jukebox,2012-12-07
Bruno Mars,If I Knew,Unorthodox Jukebox,2012-12-07
Sam Smith,Money On My Mind,In The Lonely Hour (Drowning Shadows Edition),2015-11-06
Sam Smith,Good Thing,In The Lonely Hour (Drowning Shadows Edition),2015-11-06
Sam Smith,Stay With Me,In The Lonely Hour (Drowning Shadows Edition),2015-11-06
