Artist,Song,Album,Release Date
Harry Styles,Lights Up,Fine Line,2019-12-13
Harry Styles,Sign of the Times,Harry Styles,2017-05-12
Harry Styles,Watermelon Sugar,Watermelon Sugar,2019-11-17
Harry Styles,Adore You,Adore You,2019-12-06
Harry Styles,Falling,Fine Line,2019-12-13
Emma Watson,Belle (Reprise),Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),2017-03-10
Josh Groban,Evermore,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),2017-03-10
Ariana Grande,Beauty and the Beast,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),2017-03-10
Emma Watson,Belle,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),2017-03-10
Jukebox The Ghost,Everybody's Lonely,Off To The Races,2018-03-30
Florence + The Machine,Tiny Dancer,Revamp: The Songs Of Elton John & Bernie Taupin,2018-04-06
Sam Smith,Daniel,Revamp: The Songs Of Elton John & Bernie Taupin,2018-04-06
The Bros. Landreth,Good Love,Good Love,2019-08-30
The Bros. Landreth,Sleep Talker,'87,2019-09-27
Joey Landreth,Cryin',Hindsight,2019-04-19
Mingo Fishtrap,Fireproof,On Time,2014-06-03
Phillip Phillips,Can't Go Wrong,The World From The Side Of The Moon (Deluxe),2013-01-01
Sam Smith,How Do You Sleep?,How Do You Sleep?,2019-07-19
Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),2019-01-11
Sam Smith,To Die For,To Die For,2020-02-14
Sam Smith,Love Is A Losing Game,In The Lonely Hour (Drowning Shadows Edition),2015-11-06
Ruel,Real Thing,Free Time,2019-09-13
Ruel,Not Thinkin' Bout You,Ready,2018-06-15
Ruel,Painkiller,Free Time,2019-09-13
Ruel,Dazed & Confused,Dazed & Confused,2018-04-27
U2,I Still Haven't Found What I'm Looking For,The Joshua Tree (Super Deluxe),1987-03-03
Michael Bublé,It's Beginning to Look a Lot like Christmas,Christmas (Deluxe Special Edition),2012-11-09
Taron Egerton,Border Song,Rocketman (Music From The Motion Picture),2019-05-24
Ruel,Younger,Younger,2018-06-05
Hozier,Like Real People Do,Hozier (Expanded Edition),2014-09-19
Alex & Sierra,I Love You,It's About Us,2014-10-06
Paramore,"For a Pessimist, I'm Pretty Optimistic",Riot!,2007-06-11
Dan + Shay,All To Myself,Dan + Shay,2018-06-22
KYLE,Playinwitme (feat. Kehlani),Light of Mine,2018-05-18
ILLENIUM,Good Things Fall Apart (with Jon Bellion),ASCEND,2019-08-16
AJR,Sober Up (feat. Rivers Cuomo),The Click,2017-06-09
Xuitcasecity,Need Somebody,INDXGO,2017-08-18
BROCKHAMPTON,SUMMER,SATURATION II,2017-08-25
Hunter Hayes,Storm Warning,Hunter Hayes (Encore),2011
Hunter Hayes,Everybody's Got Somebody but Me (feat. Jason Mraz) - Encore,Hunter Hayes (Encore),2011
Hunter Hayes,Cry with You,Hunter Hayes (Encore),2011
Hunter Hayes,Rainy Season,Hunter Hayes (Encore),2011
Hunter Hayes,Somebody's Heartbreak,Hunter Hayes (Encore),2011
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",Mac and Devin Go To High School (Music From and Inspired By The Movie),2011-12-09
Travie McCoy,Billionaire (feat. Bruno Mars),Billionaire (feat. Bruno Mars),2010-03-09
Train,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",2010-12-01
Train,Angel in Blue Jeans,Bulletproof Picasso,2014-09-16
Train,Calling All Angels,My Private Nation,2003-06-03
Train,Meet Virginia,Train,1998-02-24
Train,50 Ways to Say Goodbye,California 37,2012-04-17
Train,Marry Me,"Save Me, San Francisco (Golden Gate Edition)",2010-12-01
Train,Drive By,California 37,2012-04-17
Train,Play That Song,a girl a bottle a boat,2017-01-27
Rascal Flatts,My Wish,Me And My Gang,2006-01-01
Rascal Flatts,Yours If You Want It,Back To Us,2017-05-19
Rascal Flatts,What Hurts The Most,Me And My Gang,2006-01-01
Rascal Flatts,I Like The Sound Of That,Rewind,2014-01-01
Rascal Flatts,Bless The Broken Road,Feels Like Today,2004-01-01
Rascal Flatts,Back To Life,Back To Life,2018-09-28
Foreigner,I Don't Want to Live Without You,Inside Information,1987-11-25
Foreigner,Juke Box Hero / Whole Lotta Love - Live,Alive & Rockin' (Live),2012-05-28
Foreigner,Feels like the First Time - 2008 Remaster,No End in Sight: The Very Best of Foreigner (Expanded),2015-06-02
Rascal Flatts,Summer Nights,Unstoppable,2009-01-01
Michael Jackson,"Human Nature 7""",The Essential Michael Jackson,2005-07-19
Michael Jackson,Beat It,The Essential Michael Jackson,2005-07-19
Michael Jackson,Don't Stop 'Til You Get Enough,The Essential Michael Jackson,2005-07-19
The Jacksons,Blame It on the Boogie,The Essential Michael Jackson,2005-07-19
The Jackson 5,I Want You Back,The Essential Michael Jackson,2005-07-19
The Jackson 5,ABC,The Essential Michael Jackson,2005-07-19
Michael Jackson,Billie Jean,The Essential Michael Jackson,2005-07-19
Michael Jackson,Thriller - Single Version,The Essential Michael Jackson,2005-07-19
John Mayer,Carry Me Away,Carry Me Away,2019-09-06
The Beatles,Let It Be - Remastered 2009,Let It Be (Remastered),1970-05-08
Cory Wong,The Optimist,The Optimist,2018-08-17
The Marcus King Band,Homesick,Carolina Confessions,2018-10-05
Queen,I Want It All - Remastered 2011,Greatest Hits II (2011 Remaster),1991-10-28
Joey Landreth,Time Served,Whiskey,2019-04-05
Joey Landreth,Gone Girl,Whiskey,2019-04-05
Joey Landreth,Hard as I Can,Whiskey,2019-04-05
The Bros. Landreth,Got to Be You,Got to Be You,2019-07-26
Joey Landreth,Whiskey,Whiskey,2019-04-05
Panic! At The Disco,The Ballad of Mona Lisa,Vices & Virtues,2011-03-18
Nick Jonas,Close,Last Year Was Complicated,2016-06-10
Nick Jonas,Chainsaw,Last Year Was Complicated,2016-06-10
Nick Jonas,Jealous,Nick Jonas X2,2015-11-20
Nick Jonas,Chains,Nick Jonas X2,2015-11-20
Meaghan Martin,Too Cool,Camp Rock,2008-01-01
U2,I Still Haven't Found What I'm Looking For,The Joshua Tree (Super Deluxe),1987-03-03
Rascal Flatts,Life is a Highway,Me And My Gang,2006-01-01
Hunter Hayes,Wanted,Hunter Hayes (Encore),2011
Elton John,"Can You Feel the Love Tonight - End Title/ From ""The Lion King""/Soundtrack Version",The Lion King: Special Edition,2003-01-01
Taron Egerton,Your Song,Rocketman (Music From The Motion Picture),2019-05-24
The Weeknd,Party Monster,Starboy,2016-11-25
Diplo,So Long,So Long,2019-04-24
Alan Silvestri,Portals,Avengers: Endgame (Original Motion Picture Soundtrack),2019-04-26
Cam,Diane,Diane,2017-10-27
Ben Rector,Love Like This,Magic,2018-06-22
Ben Rector,When A Heart Breaks,Into the Morning,2010-02-16
Ben Rector,Kids,Magic,2018-06-22
Ben Rector,Drive,Magic,2018-06-22
Ben Rector,I Will Always Be Yours,Magic,2018-06-22
Ben Rector,Old Friends,Magic,2018-06-22
Ben Rector,I Like You,The Walking in Between,2013-08-20
Ben Rector,Brand New,Brand New,2015-08-28
The Script,Breakeven,The Script,2008-09-08
John Mayer,I Guess I Just Feel Like,I Guess I Just Feel Like,2019-02-22
Keyshia Cole,Incapable,11:11 Reset,2017-10-20
Queen,Under Pressure,Hot Space,1982-05-03
Shawn Mendes,Under Pressure,Under Pressure,2018-09-25
Carl Douglas,Kung Fu Fighting,The Soul of the Kung Fu Fighter,2001
Styx,Fooling Yourself (The Angry Young Man),The Grand Illusion,1977-01-01
Styx,Come Sail Away,The Grand Illusion,1977-01-01
Styx,Renegade,Pieces Of Eight,1978-01-01
Louis Futon,Rewind,Rewind,2017-08-09
Panic! At The Disco,Golden Days,Death of a Bachelor,2016-01-15
Panic! At The Disco,LA Devotee,Death of a Bachelor,2016-01-15
Panic! At The Disco,Death of a Bachelor,Death of a Bachelor,2016-01-15
We The Kings,Sad Song (feat. Elena Coats),Somewhere Somehow,2013-01-01
Panic! At The Disco,Hallelujah,Death of a Bachelor,2016-01-15
Panic! At The Disco,I Write Sins Not Tragedies,A Fever You Can't Sweat Out,2005-09-27
Panic! At The Disco,Nicotine,"Too Weird to Live, Too Rare to Die!",2013-10-04
Panic! At The Disco,Dancing's Not a Crime,Pray for the Wicked,2018-06-22
Panic! At The Disco,Dying in LA,Pray for the Wicked,2018-06-22
Panic! At The Disco,(Fuck A) Silver Lining,Pray for the Wicked,2018-06-22
Panic! At The Disco,"Hey Look Ma, I Made It",Pray for the Wicked,2018-06-22
Panic! At The Disco,High Hopes,Pray for the Wicked,2018-06-22
Alessia Cara,I Guess That's Why They Call It The Blues,Revamp: The Songs Of Elton John & Bernie Taupin,2018-04-06
Nickelback,Someone That You're With,All the Right Reasons (Special Edition),2005-09-26
Nickelback,"Animals - Live at Gwinnett Center Arena, Atlanta, GA, 3/17/2006",All the Right Reasons (Special Edition),2005-09-26
Nickelback,"Photograph - Live at Gwinnett Center Arena, Atlanta, GA, 3/17/2006",All the Right Reasons (Special Edition),2005-09-26
Nickelback,Rockstar,All the Right Reasons (Special Edition),2005-09-26
Nickelback,Next Contestant,All the Right Reasons (Special Edition),2005-09-26
Nickelback,Far Away,All the Right Reasons (Special Edition),2005-09-26
Nickelback,Savin' Me,All the Right Reasons (Special Edition),2005-09-26
Nickelback,Animals,All the Right Reasons (Special Edition),2005-09-26
Nickelback,Photograph,All the Right Reasons (Special Edition),2005-09-26
Jason Mraz,Let's See What The Night Can Do,Know.,2018-08-10
Jason Mraz,Have It All,Know.,2018-08-10
Jason Mraz,More Than Friends (feat. Meghan Trainor),Know.,2018-08-10
Jason Mraz,Unlonely,Know.,2018-08-10
Jason Mraz,Better With You,Know.,2018-08-10
Jason Mraz,No Plans,Know.,2018-08-10
Jason Mraz,Making It Up,Know.,2018-08-10
Jason Mraz,Might As Well Dance,Know.,2018-08-10
Jason Mraz,Love Is Still The Answer,Know.,2018-08-10
Jason Mraz,Sleeping To Dream,Know.,2018-08-10
Zedd,Clarity,Clarity,2012-01-01
Zedd,The Middle,The Middle,2018-01-23
Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,Girls Like You (feat. Cardi B),2018-05-30
Lynyrd Skynyrd,Still Unbroken,God & Guns,2009-09-25
Lynyrd Skynyrd,Gimme Three Steps,Pronounced' Leh-'Nerd 'Skin-'Nerd,1973-01-01
Lynyrd Skynyrd,Free Bird,Pronounced' Leh-'Nerd 'Skin-'Nerd,1973-01-01
Lynyrd Skynyrd,Saturday Night Special,Nuthin' Fancy,1975
Lynyrd Skynyrd,Simple Man,Pronounced' Leh-'Nerd 'Skin-'Nerd,1973-01-01
Lynyrd Skynyrd,That Smell,The Essential Lynyrd Skynyrd,1998
Sam Smith,Too Good At Goodbyes,The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,Pray,The Thrill Of It All (Special Edition),2017-11-03
DNCE,Truthfully,DNCE,2016-11-18
Gov't Mule,Thorazine Shuffle,Live...With A Little Help From Our Friends,1999-02-05
Gov't Mule,Dolphineus,Live...With A Little Help From Our Friends,1999-02-05
Gov't Mule,War Pigs,Live...With A Little Help From Our Friends,1999-02-05
Gov't Mule,30 Days In The Hole,Live...With A Little Help From Our Friends,1999-02-05
Gov't Mule,Mr. Big,Live...With A Little Help From Our Friends,1999-02-05
Gov't Mule,Look On Yonder Wall,Live...With A Little Help From Our Friends,1999-02-05
Gov't Mule,Mule,Live...With A Little Help From Our Friends,1999-02-05
Gov't Mule,Sad And Deep As You,Live...With A Little Help From Our Friends,1999-02-05
Gov't Mule,Devil Likes It Slow,Live...With A Little Help From Our Friends,1999-02-05
Gov't Mule,Cortez The Killer,Live...With A Little Help From Our Friends,1999-02-05
Gov't Mule,Afro-Blue,Live...With A Little Help From Our Friends,1999-02-05
Shinedown,Second Chance,The Sound of Madness,2008-06-24
Gov't Mule,Soulshine,Live...With A Little Help From Our Friends,1999-02-05
Alessia Cara,How Far I'll Go - Alessia Cara Version,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18
Zedd,Stay,Stay,2017-02-23
Alessia Cara,The Other Side (Alessia Cara Version),The Other Side (Alessia Cara Version),2017-04-14
Alessia Cara,I'm Yours,Know-It-All (Deluxe),2015-11-13
Alessia Cara,Four Pink Walls,Know-It-All (Deluxe),2015-11-13
Alessia Cara,Wild Things,Know-It-All (Deluxe),2015-11-13
Alessia Cara,Stone,Know-It-All (Deluxe),2015-11-13
Alessia Cara,Overdose,Know-It-All (Deluxe),2015-11-13
Alessia Cara,Stars,Know-It-All (Deluxe),2015-11-13
Alessia Cara,Here - 2:00 AM Version,Know-It-All (Deluxe),2015-11-13
Alessia Cara,River Of Tears,Know-It-All (Deluxe),2015-11-13
Alessia Cara,My Song,Know-It-All (Deluxe),2015-11-13
James Bay,Intro,Electric Light,2018-05-18
James Bay,Wasted On Each Other,Electric Light,2018-05-18
James Bay,Pink Lemonade,Electric Light,2018-05-18
James Bay,Wild Love,Electric Light,2018-05-18
James Bay,Us,Electric Light,2018-05-18
James Bay,In My Head,Electric Light,2018-05-18
James Bay,Interlude,Electric Light,2018-05-18
James Bay,Just For Tonight,Electric Light,2018-05-18
James Bay,Wanderlust,Electric Light,2018-05-18
James Bay,I Found You,Electric Light,2018-05-18
James Bay,Sugar Drunk High,Electric Light,2018-05-18
James Bay,Stand Up,Electric Light,2018-05-18
James Bay,Fade Out,Electric Light,2018-05-18
James Bay,Slide,Electric Light,2018-05-18
Alessia Cara,Outlaws,Know-It-All (Deluxe),2015-11-13
Childish Gambino,Bonfire,Bonfire,2011-01-01
Childish Gambino,IV. Sweatpants,Because The Internet,2013-01-01
John Mayer,New Light,New Light,2018-05-10
One Direction,What Makes You Beautiful,Up All Night,2012-05-25
Troy,Start of Something New,High School Musical,2006-01-01
Troy,Breaking Free,High School Musical,2006-01-01
The Foundations,Build Me Up Buttercup,The Foundations,1968-01-01
Miguel,Remember Me (Dúo),Coco (Original Motion Picture Soundtrack),2017-11-10
Mr. Big,To Be With You - 2010 Remastered Version,Lean Into It [Expanded],1991-03-26
Michael Jackson,Black or White,Dangerous,1991-11-13
John Mayer,Still Feel Like Your Man,The Search for Everything,2017-04-14
John Mayer,Emoji of a Wave,The Search for Everything,2017-04-14
John Mayer,Helpless,The Search for Everything,2017-04-14
John Mayer,Love on the Weekend,The Search for Everything,2017-04-14
John Mayer,In the Blood,The Search for Everything,2017-04-14
John Mayer,Changing,The Search for Everything,2017-04-14
John Mayer,"Theme from ""The Search for Everything""",The Search for Everything,2017-04-14
John Mayer,Moving On and Getting Over,The Search for Everything,2017-04-14
John Mayer,Never on the Day You Leave,The Search for Everything,2017-04-14
John Mayer,Rosie,The Search for Everything,2017-04-14
John Mayer,Roll it on Home,The Search for Everything,2017-04-14
John Mayer,You're Gonna Live Forever in Me,The Search for Everything,2017-04-14
Sam Smith,One Last Song,The Thrill Of It All (Special Edition),2017-11-03
Bon Jovi,Runaway,Bon Jovi,1984-01-23
Bon Jovi,Wanted Dead Or Alive,Slippery When Wet,1986-01-01
Bon Jovi,It's My Life,Crush,2000-01-01
Bon Jovi,You Give Love A Bad Name,Slippery When Wet,1986-01-01
Bon Jovi,Livin' On A Prayer,Slippery When Wet,1986-01-01
Matchbox Twenty,Unwell - 2007 Remaster,Exile on Mainstream,2007-10-02
Matchbox Twenty,3AM,Yourself or Someone Like You,1996-10-01
Matchbox Twenty,Push,Yourself or Someone Like You,1996-10-01
Hugh Jackman,The Greatest Show,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08
Ziv Zaifman,A Million Dreams,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08
Hugh Jackman,Come Alive,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08
Hugh Jackman,The Other Side,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08
Loren Allred,Never Enough,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08
Keala Settle,This Is Me,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08
Zac Efron,Rewrite The Stars,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08
Michelle Williams,Tightrope,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08
Hugh Jackman,From Now On,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08
Adele,Hello,25,2016-06-24
Adele,Send My Love (To Your New Lover),25,2016-06-24
Adele,I Miss You,25,2016-06-24
Adele,When We Were Young,25,2016-06-24
Adele,Remedy,25,2016-06-24
Adele,Water Under the Bridge,25,2016-06-24
Adele,River Lea,25,2016-06-24
Adele,Love in the Dark,25,2016-06-24
Adele,Million Years Ago,25,2016-06-24
Adele,All I Ask,25,2016-06-24
Adele,Sweetest Devotion,25,2016-06-24
James Arthur,Naked,Naked,2017-11-24
Maroon 5,Best 4 U,Red Pill Blues (Deluxe),2017-11-03
Maroon 5,What Lovers Do (feat. SZA),Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Wait,Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Lips On You,Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Bet My Heart,Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Help Me Out (with Julia Michaels),Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Who I Am (feat. LunchMoney Lewis),Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Whiskey (feat. A$AP Rocky),Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Girls Like You,Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Closure,Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Denim Jacket,Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Visions,Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Plastic Rose,Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),Red Pill Blues (Deluxe),2017-11-03
Maroon 5,Cold (feat. Future),Red Pill Blues (Deluxe),2017-11-03
Sam Smith,Say It First,The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,Midnight Train,The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,Burning,The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,HIM,The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,"Baby, You Make Me Crazy",The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,No Peace,The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,Palace,The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,Nothing Left For You,The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,The Thrill Of It All,The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,Scars,The Thrill Of It All (Special Edition),2017-11-03
Sam Smith,One Day At A Time,The Thrill Of It All (Special Edition),2017-11-03
Meghan Trainor,I Love Me,Thank You (Deluxe Version),2017-05-12
Green Day,Basket Case,Dookie,1994-02-01
Green Day,American Idiot,American Idiot,2004-09-21
Johnny Beretta,Hot Puppy A,Jazz-Rock,2010-05-01
Roy Benz,Smooth Liberation A,Jazz-Rock,2010-05-01
Larry Lordan,Gongo A,Jazz-Rock,2010-05-01
Roy Benz,Mad Max A,Jazz-Rock,2010-05-01
Johnny Beretta,Cool Cat A,Jazz-Rock,2010-05-01
Mungo Parc,Mirrors,Jazz-Rock,2010-05-01
Frank Loef,Soul For Sale,Jazz-Rock,2010-05-01
Mungo Parc,Soft Trip,Jazz-Rock,2010-05-01
Mac Prindy,Every Day,Jazz-Rock,2010-05-01
Michael Schütz,Royal Flash,Jazz-Rock,2010-05-01
Michael Schütz,Forbidden Fruit,Jazz-Rock,2010-05-01
Michael Schütz,Just Keep On Doing,Jazz-Rock,2010-05-01
Klaus-Peter Schöpfer,High Emotions,Jazz-Rock,2010-05-01
Michael Schütz,Top Secret,Jazz-Rock,2010-05-01
Jim Harbourg,Meeting Point,Jazz-Rock,2010-05-01
Kings of Leon,Revelry,Only By The Night,2008-09-23
Kings of Leon,Manhattan,Only By The Night,2008-09-23
Kings of Leon,Use Somebody,Only By The Night,2008-09-23
Kings of Leon,Sex on Fire,Only By The Night,2008-09-23
Eddie Money,Take Me Home Tonight,The Best Of Eddie Money,2001-07-16
Highly Suspect,Little One,The Boy Who Died Wolf,2016-11-18
Groove Theory,Tell Me,Groove Theory,1995-07-25
Frankie Valli & The Four Seasons,Sherry,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Big Girls Don't Cry,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Walk Like a Man,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Candy Girl,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Dawn (Go Away),The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Ronnie,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Rag Doll,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Save It for Me,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Bye Bye Baby (Baby Goodbye),The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Let's Hang On,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Working My Way Back to You,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Opus 17 (Don't You Worry 'Bout Me),The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,I've Got You Under My Skin,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,C'mon Marianne,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli,Can't Take My Eyes off You,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli,My Eyes Adored You,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli,Swearin' to God - Single Version,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,Who Loves You,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!)",The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Frankie Valli,Grease,The Very Best of Frankie Valli & The 4 Seasons,2003-01-14
Gym Class Heroes,The Fighter (feat. Ryan Tedder),The Papercut Chronicles II,2011-11-11
Gym Class Heroes,Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II,2011-11-11
Jamie Lawson,Wasn't Expecting That,Wasn't Expecting That,2015-06-26
The Weeknd,Starboy,Starboy,2016-11-25
The Weeknd,False Alarm,Starboy,2016-11-25
The Weeknd,Rockin’,Starboy,2016-11-25
The Weeknd,Stargirl Interlude,Starboy,2016-11-25
The Weeknd,Love To Lay,Starboy,2016-11-25
The Weeknd,A Lonely Night,Starboy,2016-11-25
The Weeknd,Attention,Starboy,2016-11-25
The Weeknd,Ordinary Life,Starboy,2016-11-25
The Weeknd,Nothing Without You,Starboy,2016-11-25
The Weeknd,All I Know,Starboy,2016-11-25
The Weeknd,Die For You,Starboy,2016-11-25
The Weeknd,I Feel It Coming,Starboy,2016-11-25
The Weeknd,Six Feet Under,Starboy,2016-11-25
The Weeknd,Sidewalks,Starboy,2016-11-25
The Weeknd,Secrets,Starboy,2016-11-25
The Weeknd,True Colors,Starboy,2016-11-25
Imagine Dragons,I Don’t Know Why,Evolve,2017-06-23
Imagine Dragons,Whatever It Takes,Evolve,2017-06-23
Imagine Dragons,Believer,Evolve,2017-06-23
Imagine Dragons,Walking The Wire,Evolve,2017-06-23
Imagine Dragons,Rise Up,Evolve,2017-06-23
Imagine Dragons,I’ll Make It Up To You,Evolve,2017-06-23
Imagine Dragons,Yesterday,Evolve,2017-06-23
Imagine Dragons,Mouth Of The River,Evolve,2017-06-23
Imagine Dragons,Thunder,Evolve,2017-06-23
Imagine Dragons,Start Over,Evolve,2017-06-23
Imagine Dragons,Dancing In The Dark,Evolve,2017-06-23
Journey,Wheel in the Sky,The Essential Journey,2001-10-16
Journey,Faithfully,The Essential Journey,2001-10-16
Journey,Any Way You Want It,The Essential Journey,2001-10-16
Journey,Separate Ways (Worlds Apart),The Essential Journey,2001-10-16
Journey,Lights,The Essential Journey,2001-10-16
Journey,"Lovin', Touchin', Squeezin'",The Essential Journey,2001-10-16
Journey,Open Arms,The Essential Journey,2001-10-16
Paramore,crushcrushcrush,Riot!,2007-06-11
Paramore,Hard Times,After Laughter,2017-05-12
Paramore,Rose-Colored Boy,After Laughter,2017-05-12
Paramore,Told You So,After Laughter,2017-05-12
Paramore,Forgiveness,After Laughter,2017-05-12
Paramore,Fake Happy,After Laughter,2017-05-12
Paramore,26,After Laughter,2017-05-12
Paramore,Pool,After Laughter,2017-05-12
Paramore,Grudges,After Laughter,2017-05-12
Paramore,Caught in the Middle,After Laughter,2017-05-12
Paramore,Idle Worship,After Laughter,2017-05-12
Paramore,No Friend,After Laughter,2017-05-12
Paramore,Tell Me How,After Laughter,2017-05-12
The Weeknd,Reminder,Starboy,2016-11-25
Amy Winehouse,Rehab,Back To Black,2006-10-27
Alessia Cara,Seventeen,Know-It-All (Deluxe),2015-11-13
MKTO,Classic,MKTO,2012
Ariana Grande,"Beauty and the Beast - From ""Beauty and the Beast""","Beauty and the Beast (From ""Beauty and the Beast"")",2017-02-03
Melanie Martinez,Hit The Road Jack - The Voice Performance,Hit The Road Jack (The Voice Performance),2012-01-01
Ed Sheeran,Eraser,÷ (Deluxe),2017-03-03
Ed Sheeran,Castle on the Hill,÷ (Deluxe),2017-03-03
Ed Sheeran,Dive,÷ (Deluxe),2017-03-03
Ed Sheeran,Shape of You,÷ (Deluxe),2017-03-03
Ed Sheeran,Perfect,÷ (Deluxe),2017-03-03
Ed Sheeran,Galway Girl,÷ (Deluxe),2017-03-03
Ed Sheeran,Happier,÷ (Deluxe),2017-03-03
Ed Sheeran,New Man,÷ (Deluxe),2017-03-03
Ed Sheeran,Hearts Don't Break Around Here,÷ (Deluxe),2017-03-03
Ed Sheeran,What Do I Know?,÷ (Deluxe),2017-03-03
Ed Sheeran,How Would You Feel (Paean),÷ (Deluxe),2017-03-03
Ed Sheeran,Supermarket Flowers,÷ (Deluxe),2017-03-03
Ed Sheeran,Barcelona,÷ (Deluxe),2017-03-03
Ed Sheeran,Bibia Be Ye Ye,÷ (Deluxe),2017-03-03
Ed Sheeran,Nancy Mulligan,÷ (Deluxe),2017-03-03
Ed Sheeran,Save Myself,÷ (Deluxe),2017-03-03
Emma Stone,Audition (The Fools Who Dream),La La Land (Original Motion Picture Soundtrack),2016-12-09
John Legend,Start A Fire,La La Land (Original Motion Picture Soundtrack),2016-12-09
Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",La La Land (Original Motion Picture Soundtrack),2016-12-09
Justin Hurwitz,Herman’s Habit,La La Land (Original Motion Picture Soundtrack),2016-12-09
La La Land Cast,Another Day Of Sun,La La Land (Original Motion Picture Soundtrack),2016-12-09
Zhé Aqueen,Aphrodisiac,Aphrodisiac,2017-06-12
Ryan Gosling,A Lovely Night,La La Land (Original Motion Picture Soundtrack),2016-12-09
Emma Stone,Someone In The Crowd,La La Land (Original Motion Picture Soundtrack),2016-12-09
Imagine Dragons,Believer,Believer,2017-01-31
Mötley Crüe,Home Sweet Home,Theatre of Pain,1985
Ed Sheeran,Shape of You,Shape of You,2017-01-06
The Dartmouth Aires,Remix to Ignition,Impaired,2005-01-01
Sing Street,Up,Sing Street (Original Motion Picture Soundtrack),2016-03-18
Sing Street,To Find You,Sing Street (Original Motion Picture Soundtrack),2016-03-18
Paramore,Misery Business,Riot!,2007-06-11
